% Model,TS_air_sphere_output.mph
% Version,COMSOL 6.4.0.429
% Date,"Sep 8 2026, 13:07"
% Table,Table 1 - Point Evaluation 1
% freq (Hz),"Target Strength, Point: (-1, 0, 0)"
49.99999999999999,-108.82818859156244
52.96268625886442,-107.8267083873982
56.10092271509817,-106.82504848994049
59.42511137185091,-105.82318692774714
62.94627058970836,-104.82109902063767
66.6760716081662,-103.81875703501086
70.6268772311377,-102.8161298127752
74.81178280472167,-101.81318233438847
79.24465962305565,-100.80987522743008
83.94020090612803,-99.80616423399995
88.91397050194612,-98.8019995779768
94.18245447449,-97.79732526805851
99.76311574844398,-96.79207829875813
105.67445199183237,-95.78618776517939
111.93605692841699,-94.77957382586365
118.56868528308274,-93.77214655855313
125.59432157547896,-92.76380464105588
133.0362529899404,-91.75443384618538
140.91914656322274,-90.7439053431313
149.26913094589798,-89.73207374159853
158.11388300841895,-88.71877486167082
167.48271957891376,-87.70382317808091
177.40669461678763,-86.68700887666161
187.91870214422212,-85.66809447386521
199.05358527674863,-84.64681090615102
210.8482517142911,-83.62285299967367
223.34179607548148,-82.59587420768372
236.5756294807401,-81.56548047333737
250.5936168136362,-80.53122303820088
265.4422221154942,-79.49258998786777
281.1706625951745,-78.44899625737898
297.8310717645051,-77.39977175927106
315.47867224009644,-76.34414719468938
334.1719587843074,-75.28123699166356
353.97289219206897,-74.21001864389795
374.94710466622786,-73.12930749864717
397.16411736214064,-72.03772573141615
420.6975708225973,-70.93366381358452
445.6254690668729,-69.81523216486046
472.0304381429617,-68.68019980502044
499.99999999999994,-67.52591553067231
529.6268625886448,-66.34920522760328
561.0092271509814,-65.14623600922145
594.2511137185094,-63.91233331951763
629.4627058970837,-62.64172985404021
666.7607160816619,-61.3272131286082
706.2687723113777,-59.95961800196732
748.1178280472163,-58.527074003242504
792.4465962305569,-57.01384952110583
839.4020090612802,-55.39850178138949
889.1397050194613,-53.65076242078235
941.8245447449009,-51.72595423247438
997.6311574844393,-49.554139231464816
1056.7445199183237,-47.016611100667575
1119.36056928417,-43.886464199708385
1185.6868528308275,-39.63694870842175
1255.943215754791,-32.45124623749959
1330.362529899404,-15.849088728580782
1409.1914656322274,-33.823240566708115
1492.69130945898,-38.827082361344715
1581.1388300841895,-41.68975714601699
1674.8271957891395,-43.62982659636431
1774.0669461678763,-45.05569709159347
1879.1870214422213,-46.1549312823696
1990.5358527674864,-47.02939292049884
2108.482517142911,-47.74060811552839
2233.417960754817,-48.32859097072174
2365.756294807401,-48.82082391341969
2505.936168136362,-49.236989900017036
2654.422221154942,-49.591660630109715
2811.706625951745,-49.895916352169046
2978.3107176450544,-50.15836951051177
3154.7867224009647,-50.38583767448394
3341.719587843074,-50.58380091772824
3539.72892192069,-50.756721755656415
3749.4710466622787,-50.90827464553907
3971.6411736214104,-51.04151433184202
4206.975708225973,-51.15900183109068
4456.2546906687285,-51.26290043557006
4720.304381429617,-51.35505007765988
4999.999999999999,-51.43702579127031
5296.268625886442,-51.510184288681984
5610.0922715098195,-51.57570151621708
5942.5111371850935,-51.634603262853396
6294.6270589708365,-51.687790348264656
6667.607160816619,-51.73605953150709
7062.687723113769,-51.78012100678509
7481.178280472171,-51.820613153766374
7924.4659623055695,-51.85811506333991
8394.020090612803,-51.89315724932889
8891.397050194613,-51.92623087133616
9418.245447448999,-51.95779572594348
9976.311574844403,-51.98828720808809
10567.445199183237,-52.01812239924528
11193.605692841687,-52.047705404616664
11856.868528308274,-52.07743204192164
12559.43215754791,-52.107693988294656
13303.625298994068,-52.13888253331446
14091.914656322273,-52.17139218446111
14926.913094589783,-52.20562454655735
15811.388300841894,-52.241993159316884
16748.271957891393,-52.280930303953824
17740.6694616788,-52.32289708377512
18791.870214422215,-52.3683981155833
19905.358527674845,-52.41800151896901
21084.82517142911,-52.47236294235515
22334.179607548172,-52.53224845672361
23657.56294807406,-52.598545054960084
25059.36168136362,-52.67224040716394
26544.222211549393,-52.75434952258088
28117.06625951745,-52.84577343797356
29783.107176450543,-52.94710618781054
