% Model,Midshipman_SF_monostatic.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 9 2026, 13:57"
% Table,Table 2 - Global Evaluation 1
% theta (degree),freq (Hz),Target Strength
0,10000,-101.69180124000748
0,30000,-106.92294916621526
0,50000,-101.56812399028274
0,70000,-102.30080002661643
1,10000,-101.67646513319269
1,30000,-106.8089587669599
1,50000,-101.40075944215134
1,70000,-101.95315396554379
2,10000,-101.66179331388763
2,30000,-106.70073836855344
2,50000,-101.2442431507099
2,70000,-101.62366562672075
3.0000000000000004,10000,-101.64780199549632
3.0000000000000004,30000,-106.59845940341089
3.0000000000000004,50000,-101.09872043776299
3.0000000000000004,70000,-101.3140027655937
4,10000,-101.6345065628636
4,30000,-106.50227617821787
4,50000,-100.96431700034584
4,70000,-101.02545165814948
5,10000,-101.6219215604397
5,30000,-106.41232666081305
5,50000,-100.84113916490145
5,70000,-100.75897776215642
6.000000000000001,10000,-101.61006068139014
6.000000000000001,30000,-106.32873323698014
6.000000000000001,50000,-100.72927414226342
6.000000000000001,70000,-100.51527904348555
7,10000,-101.5989367576031
7,30000,-106.25160342839771
7,50000,-100.62879027566824
7,70000,-100.29483141209091
8,10000,-101.58856175062469
8,30000,-106.18103056524956
8,50000,-100.53973727546582
8,70000,-100.09792651168362
9,10000,-101.57894674346554
9,30000,-106.11709440881556
9,50000,-100.46214643650372
9,70000,-99.92470252653763
10,10000,-101.57010193329128
10,30000,-106.05986172045782
10,50000,-100.3960308348505
10,70000,-99.77516884819957
11,10000,-101.5620366249714
11,30000,-106.00938677487457
11,50000,-100.34138550337778
11,70000,-99.64922548036185
12.000000000000002,10000,-101.55475922546464
12.000000000000002,30000,-105.96571181610622
12.000000000000002,50000,-100.29818758583603
12.000000000000002,70000,-99.54667801784674
13,10000,-101.54827723904502
13,30000,-105.9288674558579
13,50000,-100.26639647184759
13,70000,-99.46724895694551
14,10000,-101.54259726333743
14,30000,-105.89887301373834
14,50000,-100.24595391549381
14,70000,-99.41058600567348
14.999999999999998,10000,-101.53772498615731
14.999999999999998,30000,-105.87573680002563
14.999999999999998,50000,-100.23678414265297
14.999999999999998,70000,-99.37626797731299
16,10000,-101.53366518314088
16,30000,-105.85945634138628
16,50000,-100.23879395280545
16,70000,-99.36380877572856
17,10000,-101.53042171614251
17,30000,-105.85001855050771
17,50000,-100.25187282274362
17,70000,-99.37265992175014
18,10000,-101.5279975324101
18,30000,-105.84739984071919
18,50000,-100.2758930210677
18,70000,-99.40221202450219
19,10000,-101.5263946644928
19,30000,-105.85156618676059
19,50000,-100.31070974330544
19,70000,-99.45179557015177
20,10000,-101.52561423091177
20,30000,-105.86247313315182
20,50000,-100.35616127897865
20,70000,-99.52068138203244
21,10000,-101.52565643753503
21,30000,-105.88006575158636
21,50000,-100.41206922291876
21,70000,-99.6080810948333
22,10000,-101.52652057969328
22,30000,-105.90427854908222
22,50000,-100.4782387443488
22,70000,-99.71314798232953
23,10000,-101.52820504498962
23,30000,-105.93503532878698
23,50000,-100.55445892741406
23,70000,-99.8349784724971
24.000000000000004,10000,-101.53070731682133
24.000000000000004,30000,-105.97224900561578
24.000000000000004,50000,-100.64050319845698
24.000000000000004,70000,-99.97261467981016
25,10000,-101.5340239785867
25,30000,-106.01582137919229
25,50000,-100.73612985422972
25,70000,-100.12504826391086
26,10000,-101.53815071858098
26,30000,-106.06564286707129
26,50000,-100.84108270600922
26,70000,-100.29122589374138
27,10000,-101.54308233557087
27,30000,-106.12159220173668
27,50000,-100.95509185347679
27,70000,-100.4700565412135
28,10000,-101.5488127450401
28,30000,-106.18353609547847
28,50000,-101.07787460051568
28,70000,-100.66042074599213
29.000000000000004,10000,-101.55533498610046
29.000000000000004,30000,-106.25132887808603
29.000000000000004,50000,-101.2091365239242
29.000000000000004,70000,-100.86118188361934
29.999999999999996,10000,-101.56264122907126
29.999999999999996,30000,-106.32481211329039
29.999999999999996,50000,-101.3485727022524
