% Model,Rockfish_SF_bone.mph
% Version,COMSOL 6.2.0.339
% Date,"Sep 10 2026, 11:17"
% Table,Table 1 - Point Evaluation 1
% freq (Hz),"Target Strength, Point: (0, 0, 500)"
49.99999999999999,-57.67434675494719
52.96268625886442,-56.62694377476912
56.10092271509817,-55.573443338497945
59.42511137185091,-54.51301496469238
62.94627058970836,-53.444702442715354
66.6760716081662,-52.367401287032436
70.6268772311377,-51.27983111355833
74.81178280472167,-50.18050149262079
79.24465962305565,-49.067669301613336
83.94020090612803,-47.93928489171087
88.91397050194612,-46.792923311992176
94.18245447449,-45.62569528062153
99.76311574844398,-44.434130248107415
105.67445199183237,-43.21402028855274
111.93605692841699,-41.96020785742402
118.56868528308274,-40.66629121456643
125.59432157547896,-39.32420581922009
133.0362529899404,-37.92361307986341
140.91914656322274,-36.450979005132744
149.26913094589798,-34.88813222406659
158.11388300841895,-33.20990258738409
167.48271957891376,-31.380032469715772
177.40669461678763,-29.3435807519594
187.91870214422212,-27.011448546423473
199.05358527674863,-24.224600349107295
210.8482517142911,-20.65429640696193
223.34179607548148,-15.420753746219514
236.5756294807401,-4.088394580221165
250.5936168136362,-7.637178101518377
265.4422221154942,-15.330065636230039
281.1706625951745,-19.006927697175254
297.8310717645051,-21.338957674540463
315.47867224009644,-22.994479388289456
334.1719587843074,-24.244035614296884
353.97289219206897,-25.22420954111402
374.94710466622786,-26.01360954193912
397.16411736214064,-26.66162161647609
420.6975708225973,-27.201289127434404
445.6254690668729,-27.655795446009105
472.0304381429617,-28.042019782514057
499.99999999999994,-28.372621410860056
529.6268625886448,-28.657327687248582
561.0092271509814,-28.90376521408215
594.2511137185094,-29.118015909998086
629.4627058970837,-29.305000611311563
666.7607160816619,-29.468750774568683
706.2687723113777,-29.61260540665021
748.1178280472163,-29.73935673601101
792.4465962305569,-29.851359949741703
839.4020090612802,-29.950617240796937
889.1397050194613,-30.038843171407088
941.8245447449009,-30.117516244883188
997.6311574844393,-30.18792016941195
1056.7445199183237,-30.251177342145446
1119.36056928417,-30.308276424801566
1185.6868528308275,-30.360095425430565
1255.943215754791,-30.40742138201709
1330.362529899404,-30.45096752073515
1409.1914656322274,-30.491388606782724
1492.69130945898,-30.529295098796062
1581.1388300841895,-30.565266643431595
1674.8271957891395,-30.599865391251775
1774.0669461678763,-30.63364956434806
1879.1870214422213,-30.667187643001085
1990.5358527674864,-30.7010734402264
2108.482517142911,-30.735942168130595
2233.417960754817,-30.772487326661917
2365.756294807401,-30.8114778096894
2505.936168136362,-30.85377396133239
2654.422221154942,-30.900340361089867
2811.706625951745,-30.952251822083884
2978.3107176450544,-31.01068746658769
3154.7867224009647,-31.076905953196025
3341.719587843074,-31.15219341079271
3539.72892192069,-31.237775334039604
3749.4710466622787,-31.33468635902531
3971.6411736214104,-31.44360018230217
4206.975708225973,-31.564638900317416
4456.2546906687285,-31.69720571841367
4720.304381429617,-31.83989365359227
4999.999999999999,-31.990374979031998
5296.268625886442,-32.143853310203795
5610.0922715098195,-32.26870524132538
5942.5111371850935,-32.735729864084085
6294.6270589708365,-32.842376429056486
6667.607160816619,-33.11623628849452
7062.687723113769,-33.484038705849485
7481.178280472171,-33.958432004415734
7924.4659623055695,-34.53426820456168
8394.020090612803,-35.16038560836935
8891.397050194613,-35.72370113463106
9418.245447448999,-36.116168408220105
9976.311574844403,-36.353396526945254
10567.445199183237,-36.74883705274314
11193.605692841687,-37.58908289820704
11856.868528308274,-39.023555385257005
12559.43215754791,-40.506892941443546
13303.625298994068,-40.32803114076708
14091.914656322273,-39.09221007490017
14926.913094589783,-38.98681421923161
15811.388300841894,-41.405982048789305
16748.271957891393,-44.13957312841941
17740.6694616788,-39.79116702368104
18791.870214422215,-37.851320571783624
19905.358527674845,-40.86052640431909
21084.82517142911,-43.34667143219896
22334.179607548172,-37.971967106587115
23657.56294807406,-40.70983037470277
25059.36168136362,-44.33765665206319
26544.222211549393,-40.811664100117504
28117.06625951745,-41.3227291577188
29783.107176450543,-33.81679781643198
31547.86722400971,-43.00500345258628
33417.19587843074,-38.77461893946088
35397.28921920686,-56.70111213139244
37494.71046662279,-37.20996614101382
39716.411736214104,-32.537920445472025
42069.75708225982,-31.98962482309706
44562.54690668729,-36.34527907717136
47203.04381429612,-30.341118448229956
49999.99999999999,-28.24117082259168
52962.68625886448,-24.36046136901416
56100.922715098255,-22.16922337999035
59425.11137185094,-23.996997834567342
62946.2705897083,-13.000913989157134
66676.0716081662,-22.591882060313786
70626.87723113777,-14.5755097163235
74811.78280472178,-7.590520007322576
79244.65962305569,-6.437089241576805
83940.20090612794,-5.735098494593709
88913.97050194613,-5.277060352487979
