% Model,TS_soft_sphere_PBM_fine_output.mph
% Version,COMSOL 6.4.0.429
% Date,"Sep 10 2026, 12:50"
% Dimension,1
% Nodes,320
% Expressions,1
% Description,Histogram
% Element size (mm),Element size
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
10.889910990612659,7.686626243611849E-7
13.02950814140834,4.56024801061033E-6
15.16910529220402,1.5662704903871995E-5
17.308702442999703,2.1537561098169698E-5
19.448299593795383,6.722718517574336E-5
21.587896744591063,1.2910331112775142E-4
23.727493895386743,1.3564352665523748E-4
25.867091046182423,1.1772886091840587E-4
28.006688196978104,1.1662355120984795E-4
30.146285348843584,1.9296091603988222E-5
11.738128744394515,3.931967917603978E-6
13.763367111480568,1.1470234140606179E-5
15.78860547856662,2.375853266794777E-5
17.81384384565267,3.6976648915515546E-5
19.839082212738724,8.62513575025048E-5
21.864320579824774,1.0309567803041923E-4
23.889558946910824,1.3618353708593097E-4
25.91479731399688,9.455407742718207E-5
27.94003568108293,1.0580290186450986E-4
29.965274049181602,2.6113644347080092E-5
11.215415615952843,2.453621736538453E-6
13.020560249215823,2.011120034106058E-5
14.825704882478806,3.455786630687007E-5
16.630849515741787,8.415813827226465E-5
18.43599414900477,1.147392114864909E-4
20.241138782267754,1.3674402161617565E-4
22.04628341553073,9.823044523349432E-5
23.851428048793714,6.269382998640437E-5
25.656572682056698,5.8381598899483705E-5
27.46171731622225,1.7178697926383414E-5
11.458888347812595,1.136162378350656E-6
12.268207017398595,6.4474572585300786E-6
13.077525686984593,2.2784754688591677E-5
13.886844356570592,6.906570122788181E-5
14.69616302615659,1.0333004297360822E-4
15.505481695742588,1.2982061614089804E-4
16.314800365328587,1.3155662615665513E-4
17.12411903491459,1.0957906243836855E-4
17.933437704500587,4.72062908220849E-5
18.742756374491243,8.722803420608002E-6
9.245807768336205,8.619834806721679E-7
10.252862015808448,7.969716994565254E-6
11.259916263280692,4.763759387555855E-5
12.266970510752934,1.3102613765231407E-4
13.274024758225178,1.9379678758919572E-4
14.281079005697421,1.55649510195568E-4
15.288133253169665,6.191812500903088E-5
16.29518750064191,2.073128123756302E-5
17.30224174811415,7.262567698328322E-6
18.309295996089922,3.2564959090231566E-6
7.184233719877737,9.592545872472605E-7
8.018799550004461,9.776464172495561E-6
8.853365380131184,4.2679454673964395E-5
9.687931210257908,1.1650191549633547E-4
10.522497040384632,1.568953699995917E-4
11.357062870511355,1.4000615908834715E-4
12.191628700638079,1.082706455386017E-4
13.026194530764803,4.006718154902316E-5
13.860760360891526,1.0178691913171445E-5
14.695326191435532,5.134105517589165E-6
5.5890326003234145,7.276734862654924E-7
6.256596646318901,7.540522173321634E-6
6.924160692314386,3.814696782176359E-5
7.591724738309871,1.115029771232352E-4
8.259288784305358,1.8343797915706207E-4
8.926852830300842,1.6523724161831936E-4
9.594416876296329,9.122001795565294E-5
10.261980922291814,2.532325510148544E-5
10.9295449682873,5.820735455117548E-6
11.597109014616567,1.9482331544545776E-6
4.184943875665991,1.1052507204005864E-7
4.701702617484278,2.440181718105716E-6
5.218461359302566,1.622079063141439E-5
5.735220101120854,6.402540396019977E-5
6.251978842939141,1.5477439641367453E-4
6.768737584757429,1.9042118739322135E-4
7.285496326575716,1.3815562625961396E-4
7.802255068394004,4.8994792636744745E-5
8.31901381021229,1.3808698938179938E-5
8.835772552288958,1.7069960138591652E-6
3.5109331943045894,5.812796978272529E-7
3.9355799937896934,8.12789947512135E-6
4.360226793274798,3.960695429866699E-5
4.784873592759901,9.896619316910766E-5
5.209520392245005,1.7185471111416325E-4
5.634167191730109,1.5947225247690087E-4
6.058813991215213,1.1361201680736738E-4
6.483460790700317,3.2099741280904985E-5
6.90810759018542,5.28813846758769E-6
7.332754389882847,1.3085449186311149E-6
2.7762031376062497,5.086677829151572E-7
3.101181302144302,6.5371153350306515E-6
3.4261594666823543,3.4892239184384664E-5
3.751137631220407,8.570714110491846E-5
4.07611579575846,1.571540733693151E-4
4.401093960296512,1.6843745956301212E-4
4.726072124834564,1.2828416086880492E-4
5.051050289372617,3.913446249499249E-5
5.376028453910669,7.897687909071299E-6
5.70100661861121,1.5633289964596774E-6
